token,freq
harris,57
scared,57
miranda,57
engine,57
price,57
rice,57
ways,57
valentines,57
turkey,57
doesn,57
came,57
curry,57
zones,57
then,57
return,57
daddy,57
jersey,57
phone,56
solve,56
logic,56
patrickstarrr,56
seen,56
ride,56
meets,56
arrested,56
carpet,56
paris,56
andy,56
medley,56
watches,56
ralph,56
jan,56
lounge,56
pencil,56
sza,56
ll,56
god,55
words,55
different,55
calvin,55
mayer,55
nassar,55
dua,55
lipa,55
guy,55
marie,55
3d,55
holmes,55
scores,55
tax,55
buzzer,55
winning,55
vacuum,55
tina,55
sounds,55
december,55
robin,55
halsey,55
gourmet,55
bread,54
polished,54
experience,54
auditions,54
lamar,54
lego,54
largest,54
steak,54
fort,54
set,54
chainsmokers,54
well,54
oh,54
sync,54
steve,54
balvin,54
hits,54
beats,54
haul,54
south,54
migos,54
kilauea,54
duty,53
speechless,53
power,53
rockets,53
addresses,53
rick,53
miami,53
kingdom,53
thanksgiving,53
wrinkle,53
turned,53
spacex,53
dear,53
happens,53
karlie,53
kloss,53
late,53
koshy,52
molten,52
polar,52
save,52
saoirse,52
seth,52
amtrak,52
hours,52
dragons,52
police,52
payne,52
stage,52
serious,52
pet,52
epicurious,52
sephora,52
singer,52
moment,52
bake,52
outfits,52
energy,52
playing,52
animal,52
ronan,52
attack,52
eazy,52
lights,52
alone,52
broken,52
wish,52
three,51
works,51
transformation,51
sea,51
games,51
merrell,51
mindy,51
cars,51
colour,51
walmart,51
land,51
kaling,51
korean,51
ex,51
guesses,51
disneyland,51
celebrity,51
almost,51
lauv,51
picks,51
crew,51
mad,51
olympic,51
velvet,51
ellen,51
kesha,51
pond,51
kristen,51
khloe,51
support,51
omg,50
objects,50
players,50
eggs,50
factory,50
snow,50
strangers,50
wearing,50
once,50
mini,50
gordon,50
jim,50
fifth,50
johnson,50
bomb,50
bbq,50
english,50
nikki,50
adventure,50
360,50
speak,50
unicorn,50
luke,49
cena,49
houston,49
lazy,49
adventures,49
laughing,49
paper,49
bang,49
cook,49
500,49
nummies,49
chef,49
george,49
barcelona,49
nerdy,49
pool,49
lie,49
playoffs,49
dave,49
message,49
winner,49
ninja,49
theme,49
skills,49
puppies,49
driver,49
numberphile,49
spoiler,48
demo,48
glamour,48
holidays,48
gingerbread,48
dollar,48
club,48
countries,48
shannon,48
technology,48
bachelor,48
rainbow,48
diving,48
burn,48
underground,48
queer,48
sky,48
roy,48
imagine,48
1st,48
oscar,47
meat,47
legend,47
report,47
hall,47
taking,47
bed,47
believe,47
viral,47
funny,47
vikings,47
wear,47
festival,47
planet,47
wishes,47
jade,47
wait,47
toyota,47
ragnarok,47
british,47
meeting,47
cheese,47
flight,47
answering,47
organized,47
kit,47
songs,47
kimmel,47
sister,47
channel,47
draw,47
ben,47
california,46
sorry,46
became,46
krasinski,46
transforming,46
bloodpop,46
said,46
sleep,46
crashes,46
use,46
a24,46
ocean,46
opens,46
keith,46
mac,46
sexual,46
kai,46
cobra,46
language,46
soundtrack,46
yoga,46
smash,46
harmony,46
russia,46
career,46
find,46
kuwtk,46
build,45
truck,45
online,45
katy,45
peek,45
isle,45
gender,45
fallen,45
cole,45
total,45
accent,45
grinning,45
martin,45
lovely,45
wet,45
glam,45
fries,45
sarah,45
comedy,45
grey,45
talent,45
action,44
williams,44
hope,44
major,44
smart,44
favorites,44
brain,44
127,44
racist,44
fc,44
tyler,44
any,44
janelle,44
panic,44
bag,44
ora,44
hero,44
ii,44
australian,44
sent,44
el,44
tweets,44
perform,44
undisputed,44
rita,44
class,44
cupcake,44
pc,44
joel,44
shoot,44
mcmahon,44
knock,44
drag,44
73,43
300,43
judge,43
based,43
khaled,43
mexico,43
holes,43
kanye,43
insane,43
clash,43
features,43
asking,43
lin,43
films,43
atlas,43
killer,43
earthquake,43
billy,43
closer,43
tips,43
msnbc,43
tale,43
fallon,43
fry,43
subscribers,43
wintour,43
lawrence,43
eruption,43
easter,43
manuel,43
radio,42
tunnel,42
somebody,42
lucky,42
labo,42
tomb,42
reviews,42
reality,42
pitbull,42
insta,42
raider,42
ghost,42
zoella,42
petsch,42
competes,42
howard,42
june,42
dornan,42
finds,42
someone,42
cam,42
grammy,42
longest,42
rihanna,42
madelaine,42
force,42
franco,41
head,41
friday,41
false,41
hailee,41
da,41
november,41
maddie,41
joey,41
whitney,41
steinfeld,41
drew,41
honey,41
doing,41
bright,41
patrick,41
lewis,41
willy,41
clean,41
run,41
rumble,41
ops,41
vanderwaal,41
shelton,41
director,41
banks,41
style,41
always,41
s5,41
graceffa,41
zombies,41
computer,41
bell,41
ipad,41
laser,41
married,40
analysis,40
himself,40
clothes,40
according,40
lindsey,40
setup,40
former,40
father,40
americans,40
worse,40
meaning,40
sigrid,40
read,40
remy,40
thank,40
40,40
capaldi,40
balls,40
court,40
van,40
hunger,40
officials,40
start,40
delivers,40
horse,40
hunter,40
philippines,40
ma,40
table,40
marriage,40
even,40
tasty,40
weeknd,40
anne,40
beautiful,40
ign,40
allure,40
dragon,40
bieber,40
perry,40
cola,39
non,39
lauren,39
rewind,39
gone,39
designer,39
strong,39
jess,39
decision,39
viralhog,39
acceptance,39
josh,39
architectural,39
steelers,39
australia,39
vlogs,39
coca,39
beetle,39
macklemore,39
vlogmas,39
workout,39
leave,39
mia,39
pixar,39
glynne,39
side,39
each,39
zayn,39
touch,39
digest,39
stapleton,39
maluma,39
bird,39
joy,39
zero,39
mayweather,39
announces,38
garlic,38
kyle,38
alexa,38
presidents,38
nikkietutorials,38
professionally,38
speaker,38
teens,38
continues,38
dinner,38
control,38
son,38
u2,38
morgan,38
deadliest,38
morty,38
florence,38
smartphone,38
fishing,38
crying,38
featurette,38
stories,38
sneak,38
19,38
quiet,38
7th,38
mouse,38
center,38
sarkis,38
oprah,38
concert,38
electric,38
lyrics,38
near,38
inanna,38
cw,38
butter,38
avicii,37
ladylike,37
jr,37
rousey,37
ceo,37
lucy,37
hudson,37
keep,37
custom,37
shay,37
female,37
pranks,37
search,37
figure,37
foot,37
chip,37
